sec,nanosec,position_shoulder,velocity_shoulder,effort_shoulder
10036,60000000,0.5882873466311835,-0.026121066740133567,nan
10036,70000000,0.58828734663118,-0.026121066744141982,nan
10036,80000000,0.5882873466311755,-0.026121066747814177,nan
10036,90000000,0.5882873466311711,-0.02612106675150292,nan
10036,100000000,0.5882873466311693,-0.026121066755005282,nan
10036,110000000,0.5882873466311658,-0.02612106675848802,nan
10036,120000000,0.5882873466311631,-0.026121066762021573,nan
10036,130000000,0.5882873466311596,-0.026121066765197834,nan
10036,140000000,0.588287346631156,-0.026121066768498524,nan
10036,150000000,0.5882873466311533,-0.026121066771441864,nan
10036,160000000,0.5882873466311489,-0.02612106677433938,nan
10036,170000000,0.5882873466311453,-0.026121066777325452,nan
10036,180000000,0.5882873466311436,-0.026121066780039153,nan
10036,190000000,0.5882873466311418,-0.026121066782769205,nan
10036,200000000,0.5882873466311382,-0.02612106678541778,nan
10036,210000000,0.5882873466311347,-0.02612106678798638,nan
10036,220000000,0.5882873466311338,-0.026121066790468394,nan
10036,230000000,0.5882873466311311,-0.026121066792695713,nan
10036,240000000,0.5882873466311276,-0.026121066795061848,nan
10036,250000000,0.5882873466311276,-0.026121066797221492,nan
10036,260000000,0.5882873466311223,-0.026121066799431533,nan
10036,270000000,0.588287346631124,-0.02612106680154552,nan
10036,280000000,0.5882873466311196,-0.0261210668035291,nan
10036,290000000,0.5882873466311187,-0.026121066805506687,nan
10036,300000000,0.588287346631116,-0.02612106680708007,nan
10036,310000000,0.5882873466311151,-0.02612106680902383,nan
10036,320000000,0.5882873466311116,-0.026121066810617686,nan
10036,330000000,0.5882873466311107,-0.02612106681236882,nan
10036,340000000,0.5882873466311098,-0.02612106681388514,nan
10036,350000000,0.5882873466311089,-0.026121066815466477,nan
10036,360000000,0.5882873466311054,-0.026121066816929037,nan
10036,370000000,0.5882873466311054,-0.026121066818437993,nan
10036,380000000,0.5882873466311027,-0.026121066819734143,nan
10036,390000000,0.5882873466311027,-0.026121066821077156,nan
10036,400000000,0.5882873466311,-0.026121066822191622,nan
10036,410000000,0.5882873466311,-0.026121066823444533,nan
10036,420000000,0.5882873466310992,-0.026121066824572707,nan
10036,430000000,0.5882873466310965,-0.026121066825573074,nan
10036,440000000,0.5882873466310965,-0.026121066826705473,nan
10036,450000000,0.5882873466310956,-0.026121066827800143,nan
10036,460000000,0.5882873466310947,-0.02612106682864831,nan
10036,470000000,0.5882873466310938,-0.02612106682958141,nan
10036,480000000,0.5882873466310921,-0.026121066830508802,nan
10036,490000000,0.5882873466310921,-0.02612106683126359,nan
10036,500000000,0.5882873466310921,-0.026121066832118844,nan
10036,510000000,0.5882873466310921,-0.026121066832657126,nan
10036,520000000,0.5882873466310912,-0.026121066833287517,nan
10036,530000000,0.5882873466310894,-0.026121066833787666,nan
10036,540000000,0.5882873466310876,-0.026121066834582488,nan
10036,550000000,0.5882873466310867,-0.026121066835015874,nan
10036,560000000,0.5882873466310876,-0.026121066835490054,nan
10036,570000000,0.5882873466310867,-0.026121066835874195,nan
10036,580000000,0.5882873466310894,-0.026121066836194376,nan
10036,590000000,0.5882873466310867,-0.026121066836606532,nan
10036,600000000,0.5882873466310885,-0.026121066836778704,nan
10036,610000000,0.5882873466310867,-0.026121066837043752,nan
10036,620000000,0.5882873466310867,-0.026121066837228403,nan
10036,630000000,0.5882873466310867,-0.02612106683744045,nan
10036,640000000,0.5882873466310858,-0.026121066837625946,nan
10036,650000000,0.588287346631085,-0.02612106683762736,nan
10036,660000000,0.5882873466310858,-0.02612106683764952,nan
10036,670000000,0.588287346631085,-0.02612106683785267,nan
10036,680000000,0.588287346631085,-0.026121066837814535,nan
10036,690000000,0.588287346631085,-0.02612106683794431,nan
10036,700000000,0.5882873466310858,-0.026121066837679834,nan
10036,710000000,0.5882873466310858,-0.026121066837623205,nan
10036,720000000,0.5882873466310867,-0.026121066837374047,nan
10036,730000000,0.5882873466310858,-0.026121066837368784,nan
